Country,Region,Subregion,City
syria,homs,ar-rastan,western farhaniyeh
turkey,sirnak,beytussebap,gunyuzu
iran,sistan and baluchestan,zahedan,zahedan
cameroon,extreme-nord,logone-et-chari,am talia
democratic republic of congo,nord-kivu,nord-kivu,mbau
syria,aleppo,afrin,omar ushaghi
pakistan,fata,orakzai agency,bezot
india,haryana,karnal,garhi gujran
kenya,nyeri,nyeri town,nyeri
palestine,west bank,nablus,nablus
india,rajasthan,barmer,balotra
democratic republic of congo,kasai-occidental,lulua,tshibemba
sri lanka,western,colombo,kiribathgoda
sudan,kassala,north delta,wagar
yemen,al jawf,kharab al marashi,as safra
mali,mopti,mopti,boulikessi
syria,hama,hama,rasm skaf
libya,misratah,misratah,tawurgha
india,assam,kokrajhar,gossaigaon
namibia,erongo,arandis,langer-heinrich
nigeria,gombe,gombe,gombe
syria,aleppo,jebel saman,kafr bssin
pakistan,khyber pakhtunkhwa,bajaur agency,khar
india,jharkhand,giridih,madhuban
somalia,shabeellaha hoose,marka,mushaani
yemen,sanaa,nihm,ar ramadah
morocco,oriental,jerada,jerada
sri lanka,north western,puttalam,udappu
sierra leone,northern,bombali,kottoh
mozambique,sofala,cheringoma,inhaminga
yemen,taizz,dhubab,bir al umari
democratic republic of congo,sud-kivu,sud-kivu,kiliba
nepal,west,lumbini,dayanagar
yemen,taizz,as silw,as sayyar
india,jharkhand,saraikela-kharsawan,kuchai
iraq,sala al-din,dujail,al moshahda
central african republic,haut-mbomou,zemio,barh
india,uttar pradesh,muzaffarnagar,pachenda kalan
tunisia,jendouba,tabarka,tabarka
south africa,gauteng,city of tshwane,kameelfontein estate
yemen,raymah,as salafiyah,ad dil
guinea,nzerekore,gueckedou,kolomba
burundi,cankuzo,mishiha,mishiha
syria,idleb,al ma'ra,mashraf rajmel mashraf
nepal,west,lumbini,gajehada
algeria,bouira,bechloul,bechloul
palestine,west bank,ramallah,kokhav yaaqov
sudan,central darfur,zallingi,marra
bangladesh,dhaka,gazipur,gazipur paurashava
sierra leone,northern,port loko,rokel bridge
sierra leone,western,western rural,waterloo
india,madhya pradesh,tikamgarh,prithvipur
cameroon,extreme-nord,logone-et-chari,goura
sri lanka,southern,hambantota,mattala
ethiopia,oromia,misraq shewa,matanaha
cameroon,extreme-nord,logone-et-chari,mandina
burundi,bururi,songa,kayange
nigeria,adamawa,madagali,kamburo karaga
pakistan,punjab,gujranwala,kalar abadi
zambia,lusaka,lusaka,bauleni
sierra leone,northern,koinadugu,banda karafaia
ethiopia,oromia,misraq harerge,lafto
republic of congo,pool,ngamaba,loumou
india,bihar,gopalganj,phulwaria
afghanistan,helmand,nad ali,qari sahib kelay
kenya,tana river,bura,mbalambala
iran,tehran,tehran,tehran-district 9
democratic republic of congo,orientale,ituri,arava
chad,chari-baguirmi,loug chari,hilele
ethiopia,oromia,misraq wellega,dambi
burundi,bubanza,bubanza,muramba
tunisia,tunis,la goulette,le kram
democratic republic of congo,nord-kivu,nord-kivu,kayna
syria,homs,al makhrim,maksar elhisan
kenya,embu,runyenjes,runyenjes
india,jammu and kashmir,kishtwar,chatroo
burundi,bujumbura mairie,cibitoke,nyabagere
somalia,bari,bossaso,bossaso
democratic republic of congo,katanga,tanganyka,pepa
algeria,bejaia,seddouk,seddouk
syria,dar'a,izra',al-wardat
tunisia,siliana,siliana nord,siliana
india,assam,biswanath,biswanath chariali
burundi,ngozi,kiremba,kiremba
kenya,kiambu,gatundu north,gituamba
iran,mazandaran,savadkuh,zirab
libya,surt,surt,bin jawad
syria,deir-ez-zor,al mayadin,sbeikhan
nigeria,rivers,oyigbo,obigbo
iraq,ninewa,mosul,al khuwayn
ghana,western,shama ahanta east,takoradi
pakistan,fata,khyber agency,kandu
sudan,equatoria,eastern equatoria,bojo-ajut
south sudan,central equatoria,yei,keribala
algeria,boumerdes,djinet,oued bahara
tunisia,gafsa,sened,zannouch
india,west bengal,burdwan,kalna
bangladesh,mymensingh,jamalpur,kendua
syria,homs,homs,kafr laha
nigeria,borno,damboa,yazza
democratic republic of congo,katanga,lubumbashi,kapondo
india,rajasthan,pali,jaitaran
syria,aleppo,afrin,marsawa
pakistan,khyber pakhtunkhwa,lower dir,nasapai
algeria,tissemsilt,tissemsilt,tissemsilt
yemen,taizz,al qahirah,taizz-al qahirah
syria,ar-raqqa,ar-raqqa,abu suseh
pakistan,fata,kurram agency,kachkina
india,tamil nadu,kanyakumari,marthandam
south sudan,upper nile,luakpiny/nasir,dorading
sierra leone,northern,port loko,petifu
tanzania,kagera,bukoba rural,kanazi
india,tamil nadu,dharmapuri,kadathur
india,maharashtra,pune,pimpri-chinchwad
yemen,hadramawt,sayun,buhayrah
somalia,mudug,hobyo,xin dawaco
pakistan,fata,mohmand agency,karwanzai
ethiopia,amhara,mirab gojjam,gudar
yemen,sadah,majz,dahyan
guinea,faranah,kissidougou,nongoua
somalia,jubbada dhexe,jilib,berhani
cameroon,extreme-nord,logone-et-chari,sagme
republic of congo,plateaux,abala,oyo
yemen,taizz,al mukha,al mukha power station
somalia,sanaag,ceel afweyn,awr-boogays
india,jammu and kashmir,srinagar,maloora
pakistan,sindh,khairpur,gadeji
somalia,bakool,waajid,kulunjerer
iraq,diyala,muqdadiyah,qaryat al hajj muhsin
democratic republic of congo,nord-kivu,ituri,abakwasimbo
ethiopia,oromia,mirab shewa,bishoftu
india,andhra pradesh,anantapur,anantapur
afghanistan,kunar,nurgal,nurgal
india,jammu and kashmir,poonch,dheri
indonesia,central sulawesi,south poso kota,poso
kenya,mombasa,nyali,bombolulu
sudan,red sea,port sudan,deim arab
burundi,muyinga,butihinda,tangara
somalia,bay,baydhabo,dambal
turkey,sirnak,sirnak,yeniaslanbasar
yemen,al mahwit,al khabt,mahall al khalufah
chad,lac,mamdi,kaiga
turkey,diyarbakir,diyarbakir,yenisehir
pakistan,balochistan,kech,hirok
nigeria,niger,mariga,beri
burundi,kayanza,rango,gikomero
yemen,sadah,kitaf wa al boqee,khulayqa aqir
algeria,boumerdes,naciria,naciria
uganda,kitgum,lamwo,opoki
ethiopia,somali,liben,kededuma
burundi,kayanza,rango,nyabibuye
tanzania,morogoro,ulanga,ulanga
nigeria,yobe,damaturu,damaturu
syria,aleppo,ain al arab,dayk madash
lebanon,north,miniyeh-daniyeh,miniyeh
somalia,mudug,gaalkacyo,warshadda galayda
democratic republic of congo,katanga,haut-lomami,kikondja
south sudan,unity,abiemnhom,padit
tanzania,kagera,muleba,ndolage
sierra leone,northern,kambia,gbalamya
tunisia,sousse,sousse sidi abdelhamid,hammam sousse
india,odisha,koraput,jeypore
afghanistan,paktia,jani khail,rabat
india,kerala,kasaragod,chembrakanam
yemen,ibb,al mashannah,firwa
iraq,sala al-din,tikrit,hajaj
pakistan,khyber pakhtunkhwa,fr kohat,kohat
democratic republic of congo,orientale,ituri,rukwanzi island
south africa,kwazulu-natal,umkhanyakude,isimangaliso wetland park
sudan,kassala,western kassala,abu gamal
india,tamil nadu,pudukkottai,pudukkottai
democratic republic of congo,sud-kivu,sud-kivu,kahanda
zimbabwe,manicaland,chimanimani,chimanimani
syria,ar-raqqa,ar-raqqa,kalta
iran,ardabil,meshghin shahr,meshgin shahr
kenya,garissa,ijara,kolbio
swaziland,manzini,lobamba lomdzala,bethany
sudan,south kordofan,el abassiya,umm dafsi
syria,deir-ez-zor,abu kamal,al-heri
india,uttar pradesh,bijnor,nagina
yemen,taizz,sabir al mawadim,as sarari
sudan,central darfur,zallingi,jertanga
india,manipur,chandel,t. minou
yemen,sadah,haydan,haydan
ethiopia,southern nations, nationalities and peoples,sidama,dugo
nigeria,niger,tafa,sabon wuse
syria,ar-raqqa,tell abiad,shunaynah
india,punjab,moga,langiana khurd
libya,tajura wa an nawahi al arba,tripoli,wadi al-rabi
burundi,ruyigi,butezi,nkongwe
angola,benguela,cubal,lomaum
pakistan,sindh,hyderabad,mehar
sri lanka,eastern,batticaloa,karadiyanaru
syria,hama,as-salamiyeh,jamala
somalia,mudug,gaalkacyo,jeexdin
india,odisha,koraput,pottangi
uganda,mubende,buwekula,mubende
tunisia,zaghouan,zaghouan,zaghouan
bangladesh,dhaka,dhaka,ward no-71 (part)
sri lanka,southern,matara,morawaka
syria,homs,ar-rastan,al hamrat
afghanistan,badakhshan,fayzabad,fayzabad
nigeria,bayelsa,ogbia,otuaka
angola,lunda norte,chitato,cazondo
liberia,maryland,karluway no. 1,kaloke
yemen,sadah,kitaf wa al boqee,khulayqa umm ghirban
nepal,east,sagarmatha,rajpur
india,tamil nadu,ramanathapuram,tiruvadanai
tunisia,monastir,monastir,sidi abdelhamid
democratic republic of congo,nord-kivu,nord-kivu,mabuku
india,kerala,kannur,irikkur
afghanistan,helmand,baghran,babaji
algeria,bouira,bouira,bouira
mali,mopti,bandiagara,kargue
pakistan,azad jammu and kashmir,kotli,goi
india,bihar,samastipur,buniyadpur
afghanistan,nuristan,wama,wama
south sudan,warrap,gogrial west,riang aketh
central african republic,ouham,batangafo,mbali
yemen,al jawf,rajuzah,al aqabah al waqaz
tunisia,kebili,kebili nord,ain saidane
vietnam,khanh hoa,van ninh,dai lanh
algeria,bouira,maala,zbarbar
yemen,al jawf,khabb wa ash shaaf,jabal libnat al ulya
tunisia,sfax,sakiet eddaier,sakiet ezzit
democratic republic of congo,kasai-occidental,kasai,katende
angola,lunda norte,cambulo,nzargui
kenya,muranga,maragwa,maragwa
yemen,marib,harib,harib
somalia,jubbada hoose,badhaadhe,bur gabo
india,assam,chirang,satipur
ethiopia,southern nations, nationalities and peoples,debub omo,kelem
burkina faso,nord,passore,bokin
south sudan,western equatoria,yambio,rimenze
syria,idleb,al ma'ra,jarada
uganda,kalangala,bujumba,kalangala
iraq,diyala,khalis,adhaim
angola,malanje,malanje,mutobo
syria,lattakia,lattakia,al-bayda
india,haryana,kaithal,bhagal
sudan,north darfur,kabkabiya,zarafa
senegal,ziguinchor,oussouye,carabane
yemen,sadah,majz,wadi al jabir
india,haryana,kurukshetra,shahabad markanda
uganda,kapchorwa,kween,chepkakai
nigeria,delta,ughelli south,ekrokpe
sudan,south kordofan,talodi,kalogi
israel,hadarom,beer sheva,naveh
india,tamil nadu,madurai,usilampatti
nigeria,borno,kukawa,ngurno
nigeria,adamawa,madagali,kaya
south africa,limpopo,capricorn,malipsdrift
india,kerala,kozhikode,parakkadavu
syria,hama,as-suqaylabiyah,kherbet elnaqus
sierra leone,western,western rural,hamilton
south sudan,upper nile,maban,bunj
pakistan,punjab,gujranwala,ghakhar
algeria,biskra,ourlal,mekhadma
yemen,al jawf,khabb wa ash shaaf,wadi khalifayn
syria,aleppo,jebel saman,masih
zimbabwe,mashonaland west,chinhoyi,chinhoyi
yemen,hadramawt,brom mayfa,mayfa hajr
south africa,limpopo,sekhukhune,mandaagshoek
syria,dar'a,as-sanamayn,mal
india,karnataka,shivamogga,bhadravati
pakistan,fata,mohmand agency,khazina
india,bihar,patna,danapur
india,karnataka,kolar,malur
somalia,gedo,garbahaarey,qoond hood
south sudan,northern bahr el ghazal,aweil west,marial-baai
india,punjab,fazilka,sito gunno
india,odisha,kendujhar,ghasipura
nigeria,yobe,tarmua,biriri
yemen,dhamar,al hada,al ahsa
yemen,sanaa,nihm,al kasarah
palestine,west bank,tulkarm,an naqurah
south africa,north west,ngaka modiri molema,ikageleng
morocco,draa - tafilalet,errachidia,erfoud
niger,diffa,diffa,assaga
ethiopia,oromia,arsi,bekoji
south sudan,western bahr el ghazal,raga,sopo
syria,aleppo,as-safira,ubu getteh
tunisia,manouba,manouba,manouba
syria,idleb,al ma'ra,murayjib al shamali
india,jharkhand,palamu,lesliganj
pakistan,sindh,mirpur khas,naukot
nigeria,rivers,ahoada west,okobe
algeria,tebessa,negrine,ferkane
afghanistan,khost,bak,taraki toy
algeria,tizi ouzou,bouzeguene,sahel
turkey,sirnak,merkez,kirkkuyu
angola,cunene,cuanhama,ondjiva
liberia,sinoe,sanquin dist no. 3,bafu
south africa,gauteng,west rand,munsieville
uganda,yumbe,aringa,medigo
gambia,banjul,kanifing,kanifing
sudan,blue nile,el roseires,yaradah
palestine,west bank,nablus,jalud
india,assam,sivasagar,suffry
iraq,babylon,mahawil,al mashru
india,telangana,medak,kowdipally
somalia,galguduud,ceel buur,daafeed
morocco,grand casablanca,casablanca,hay mohammadi
yemen,aden,khur maksar,aden-jawlat al arish
madagascar,antananarivo,vakinankaratra,inanantonana
india,haryana,faridabad,ballabgarh
senegal,sedhiou,bounkiling,bougari
india,punjab,moga,ajitwal
burundi,makamba,lake tanganyika,mukerezi
afghanistan,baghlan,nahrin,nahrin
turkey,izmir,buca,camlikule
india,tamil nadu,erode,bhavani
nigeria,kaduna,kajuru,kajuru
somalia,shabeellaha hoose,afgooye,siinka dheer
sri lanka,northern,jaffna,kodikamam
angola,bie,kuito,chissolonga
democratic republic of congo,kasai-oriental,tshilenge,bayombo
sudan,central darfur,nertiti,boulay
syria,rural damascus,az-zabdani,kafir elzeit
kenya,marsabit,north horr,el-hadhi
india,karnataka,gadag,nargund
india,jammu and kashmir,budgam,magam
india,uttar pradesh,gautam buddha nagar,surajpur
south sudan,upper nile,panyikang,doleib hill
burundi,ruyigi,butezi,sanzu
nigeria,borno,dikwa,dugula
sierra leone,western,western rural,boyah village
nigeria,benue,guma,agasha
india,uttar pradesh,raebareli,unchahar
sudan,north darfur,el fasher,kungara
sierra leone,western,western rural,hastings
pakistan,punjab,rahim yar khan,liaqatpur
uganda,wakiso,jinja,masajja
senegal,sedhiou,bounkiling,banana
palestine,gaza strip,deir al balah,dayr al balah
kenya,kisumu,kisumu west,dago
libya,al hizam al akhdar,benghazi,daryanah
uganda,gulu,omoro,omoro
angola,cuando cubango,calai,chindubi
burkina faso,sahel,soum,soboule
pakistan,punjab,rahim yar khan,ghouspur
yemen,marib,sirwah,al malhah
mali,kayes,nioro,fasseguerla
india,kerala,kottayam,kumarakom
nigeria,borno,damboa,kumumza
south africa,western cape,city of cape town,macassar
turkey,sanliurfa,eyyubiye,hayati harrani
iraq,ninewa,telafar,zambar
yemen,hajjah,mustaba,ahim
india,jharkhand,godda,godda
pakistan,balochistan,kachhi,kachhi
sierra leone,western,western rural,grafton
iraq,diyala,khanaqin,asiyoud
yemen,taizz,jabal habashy,al manum
namibia,oshana,uuvudhiya,oshana
ghana,northern,yendi,yendi
ethiopia,oromia,north shewa,asebo
senegal,saint-louis,saint-louis,gaston berger university
sudan,blue nile,bau,kilgo
nigeria,kaduna,zangon kataf,zangon katab
kenya,narok,narok east,ntulelei
bangladesh,rajshahi,bogra,nishindara
burundi,ruyigi,nyabitsinda,gatare
pakistan,fata,khyber agency,loe shilman
syria,idleb,al ma'ra,dar al-kabira
india,tamil nadu,kanyakumari,suchindram
india,haryana,fatehabad,badopal
south africa,western cape,west coast,hopefield
india,tamil nadu,virudhunagar,vaiyampatti
uganda,bugiri,bukooli,namayingo
india,himachal pradesh,sirmaur,paonta sahib
algeria,blida,djebabra,djebabra
south africa,north west,dr kenneth kaunda,tigane
nigeria,zamfara,bungudu,usu
iraq,kirkuk,kirkuk,sheikh mazhar
syria,al-hasakeh,al-hasakeh,um hajar
south africa,free state,thabo mofutsanyane,warden
pakistan,sindh,jacobabad,thul
syria,idleb,harim,quneitra
south africa,free state,mangaung,mangaung
syria,aleppo,jebel saman,atareb
namibia,omaheke,steinhausen,omaheke
burundi,ruyigi,gisuru,mwegereza
syria,aleppo,menbij,samiyah
india,tamil nadu,cuddalore,neyveli
south sudan,unity,mayendit,rupchai
uganda,kampala,kampala,banda
nigeria,kaduna,kaduna north,tudun wada
ghana,upper east,bawku municipal,bawku
cameroon,extreme-nord,mayo-sava,ridoua
somalia,bay,qansax dheere,bulo addoy
yemen,aden,al buraiqeh,salah ad din camp
india,manipur,imphal east,seijang
india,haryana,bhiwani,nigana khurd
iraq,diyala,khanaqin,umm al hintah
democratic republic of congo,nord-kivu,nord-kivu,matembe
turkey,sirnak,guclukonak,guclukonak
sierra leone,northern,port loko,masherry-potho
south sudan,jonglei,bor south,anyidi
south africa,limpopo,vhembe,tempelhof
angola,cuando cubango,cuchi,cacuchi
afghanistan,nangarhar,khiwa,islampur
somalia,shabeellaha hoose,qoryooley,barowe
india,madhya pradesh,barwani,barwani
syria,ar-raqqa,ar-raqqa,ar-raqqa - al-mansour
india,madhya pradesh,damoh,damoh
democratic republic of congo,orientale,tshopo,yatolema
pakistan,fata,kurram agency,murghan kandao
somalia,shabeellaha dhexe,jowhar,buurfuule
south africa,western cape,eden,plettenberg bay
yemen,al jawf,al ghayl,al ghayl
democratic republic of congo,sud-kivu,sud-kivu,lubumba
yemen,amanat al asimah,maain,sanaa-qaryat asr al asfal
syria,ar-raqqa,ar-raqqa,al-asadiyah
guinea,faranah,dinguiraye,koya
saudi arabia,najran,najran,rajla
sudan,north darfur,kebkabiya,khartum djedid
iran,fars,shiraz,pol e fasa
mali,segou,tominian,benena
palestine,west bank,nablus,khirbat al lawz
turkey,kars,digor,kilittasi
pakistan,punjab,lahore,township
burundi,makamba,vugizo,rutegama
tunisia,kasserine,ezzouhour,kasserine
nigeria,imo,isiala mbano,obolo
ethiopia,somali,fafan,gumburka
india,tamil nadu,pudukkottai,aranthangi
angola,benguela,ganda,tchipeio
guinea-bissau,oio,mansoa,mansoa
kenya,muranga,kandara,muruka
burundi,muramvya,kiganda,gatabo
india,uttarakhand,nainital,haldwani
south sudan,northern bahr el ghazal,aweil north,gok-machar
ivory coast,montagnes,cavally,zilebly
syria,aleppo,menbij,dandaniya
sudan,south darfur,nyala,manga
syria,aleppo,al bab,qabasin
south africa,kwazulu-natal,sisonke,ixopo
bangladesh,sylhet,sylhet,paschim jaflong
india,jammu and kashmir,anantnag,qazighund
tunisia,kasserine,kasserine sud,oulad moussa
uganda,mbale,bubulo,bududa
cameroon,littoral,wouri,douala
south africa,kwazulu-natal,zululand,mondlo
indonesia,jambi,merangin,rantau panjang
yemen,sanaa,al haymah ad dakhiliyah,hajar
sri lanka,western,gampaha,wattala
india,karnataka,belgaum,parasgad
nepal,central,bagmati,dhading besi
south africa,north west,ngaka modiri molema,ottoshoop
zambia,central,chibombo,keembe
zimbabwe,matabeleland north,tsholotsho,mbizo
liberia,nimba,doe,nimba
nigeria,rivers,ikwerre,aluu
yemen,sadah,razih,qullat firas
palestine,west bank,al khalil,dura
bangladesh,sylhet,sylhet,alinagar
somalia,bari,bossaso,kobdhaxeed
democratic republic of congo,nord-kivu,nord-kivu,kirima
south africa,north west,ngaka modiri molema,boikhutso
nepal,east,sagarmatha,kanchanpur
algeria,skikda,ain bouziane,ain bouziane
yemen,marib,medghal,nakhla
syria,deir-ez-zor,al mayadin,al mayadin
central african republic,nana-gribizi,mbres,lakouetene
nigeria,borno,bama,kardali
mali,bamako,bamako,commune v
democratic republic of congo,nord-kivu,nord-kivu,bambu
south sudan,lakes,rumbek north,wiernyol
syria,aleppo,a'zaz,menagh - military airport
burundi,ruyigi,bweru,kirambi
south africa,limpopo,sekhukhune,masemola
vietnam,hai duong,cam giang,cam dien
algeria,tipaza,merad,tagrara
syria,aleppo,afrin,diwan tahtani
india,uttarakhand,pauri garhwal,pauri
south sudan,upper nile,maiwut,baw
burundi,muramvya,muramvya,ryarusera
nigeria,kaduna,zangon kataf,gidan maga
syria,ar-raqqa,ath-thawrah,debsi afnan
india,rajasthan,jaisalmer,ramgarh
zimbabwe,mashonaland west,kariba urban,kariba
syria,dar'a,a'zaz,ankhel
somalia,sanaag,ceerigaabo,garaad
india,uttar pradesh,firozabad,tundla
angola,cuanza sul,libolo,cabuta
syria,hama,hama,al mashhad
tunisia,kebili,kebili sud,jemna
pakistan,fata,north waziristan agency,tol khel
yemen,al hudaydah,ad durayhimi,ghulayfiqah
pakistan,fata,bajaur agency,arang
south africa,kwazulu-natal,uthungulu,mhlathuze
sudan,north darfur,el fasher,kerfees
sierra leone,northern,koinadugu,mansadu
south africa,gauteng,city of johannesburg,friendship town
india,uttar pradesh,moradabad,moradabad
sudan,upper nile,jungoli,adet
sierra leone,northern,kambia,magbema
syria,idleb,idleb,kafr nabi
cameroon,nord-ouest,ngo-ketunjia,bangolan
india,uttar pradesh,deoria,lar
zimbabwe,matabeleland south,matobo,matobo
yemen,sadah,majz,wadi al jirbah
saudi arabia,jizan,jazan,ramdah
niger,tahoua,tchin-tabarade,midal
pakistan,khyber pakhtunkhwa,swat,saidu sharif
ethiopia,oromia,mirab welega,gori
syria,dar'a,dar'a,dar'a - zahraa
south sudan,upper nile,maiwut,turu
egypt,fayoum,fayyum,el-hilal
nepal,east,koshi,shadananda
sri lanka,northern,polonnaruwa,polonnaruwa
turkey,samsun,samsun,samsun
democratic republic of congo,orientale,bas-uele,poko
uganda,moroto,matheniko,rupa
syria,aleppo,as-safira,shbit mounain
india,west bengal,north 24 parganas,north dum dum
guinea,nzerekore,macenta,ndeleou
kenya,mandera,banissa,lulis
kenya,baringo,baringo south,marigat
india,uttarakhand,haridwar,landhaura
bangladesh,chittagong,noakhali,sukh char
sudan,upper nile,jungoli,rierle
south africa,kwazulu-natal,ugu,harding
afghanistan,kabul,kabul,gambiri dag
tunisia,tunis,bouhaira,el aouina
ethiopia,mandera,mandera west,saki
uganda,hoima,bugahya,kabanda
yemen,amran,al ashah,al ashshah
afghanistan,ghazni,gelan,moqor
nigeria,kano,bichi,bichi
somalia,bay,buur xakaba,godey
uganda,kyenjojo,kyaka,nyamugura
uganda,jinja,butembe,bugaya
liberia,montserrado,todee,bensonville
india,west bengal,paschim medinipur,keshpur
bangladesh,rangpur,gaibandha,mahimaganj
syria,hama,as-salamiyeh,jakuziyeh
nigeria,bauchi,bauchi,bishi
sudan,south darfur,el salam,goza
democratic republic of congo,orientale,ituri,androzo
sudan,west darfur,el geneina,bir saleeba
togo,kara,assoli,bafilo
south africa,gauteng,city of johannesburg,rosebank
burkina faso,centre-ouest,sanguie,goundi
rwanda,amajyaruguru,gicumbi,bungwe
sudan,south darfur,bielel,amer
kenya,nakuru,nakuru town east,nyakinywa
central african republic,ouham pende,koui,boyaye boyongo
turkey,ardahan,gole,gole
pakistan,fata,mohmand agency,shunkrai
syria,homs,al makhrim,al-musherfeh
sierra leone,northern,koinadugu,sokurela
algeria,skikda,tamalous,tamalous
kenya,siaya,ugenya,sega
somalia,togdheer,burao,marqan
central african republic,basse-kotto,zangba,zangba
syria,homs,homs,tal dahab
south africa,western cape,city of cape town,paarden island
india,punjab,sangrur,bhindran
india,haryana,jhajjar,beri
iran,hamadan,kabudarahang,alisadr
sudan,south darfur,katayla,antikina
sudan,west darfur,mukjar,sisi
kenya,mandera,mandera north,kofoleh
palestine,gaza strip,rafah,as salam
kenya,kilifi,kaloleni,tsunguni
pakistan,khyber pakhtunkhwa,malakand,mingora
sudan,south darfur,kass,gubbo
afghanistan,balkh,dawlat abad,chahi
india,jammu and kashmir,poonch,sagra
south africa,gauteng,city of tshwane,garsfontein
sudan,west darfur,jebel moon,hijleahjah
central african republic,ouham,batangafo,kambakota
pakistan,fata,south waziristan agency,chagmalai
sierra leone,northern,bombali,kamolo
burundi,bururi,songa,rumeza
south sudan,lakes,awerial,dor
algeria,batna,tazoult,oued istili
palestine,west bank,tulkarm,nur ash shams
somalia,woqooyi galbeed,hargeysa,yayle
sierra leone,northern,koinadugu,konombaia
sierra leone,eastern,kailahun,geima camp
somalia,shabeellaha dhexe,jowhar,mandheere
sri lanka,sabaragamuwa,kegalle,aranayaka
turkey,sanliurfa,sanliurfa,sanliurfa
nigeria,yobe,fune,maiduwa
sierra leone,northern,koinadugu,bendu
burundi,rumonge,rumonge,gatete
palestine,gaza strip,khan yunis,daribat ash shaykh hammuda
syria,deir-ez-zor,deir-ez-zor,ali
algeria,bouira,el asnam,qarareeb
south africa,north west,bojanala,marikana
india,haryana,bhiwani,tosham
algeria,boumerdes,afir,afir
sudan,khartoum,umm badda,omdurman
south sudan,unity,leer,adok
syria,hama,hama,halabiyah
syria,aleppo,jebel saman,aleppo - halab al-jadida
india,uttar pradesh,barabanki,barabanki
kenya,busia,nambale,bukhayo north
india,maharashtra,mumbai city,mumbai-goregaon west
nepal,mid-western,bheri,hirminiya
india,jammu and kashmir,bandipora,ajas
india,jammu and kashmir,kupwara,tad
sudan,bahr el ghazal,warap,ajwok
vietnam,binh phuoc,bu gia map,bu gia map
tunisia,nabeul,el mida,el mida
afghanistan,wardak,jalrez,ali khel
india,kerala,thiruvananthapuram,vellanad
rwanda,iburasirazuba,rwamagana,mwulire
south africa,eastern cape,o.r.tambo,tahle
india,uttarakhand,haridwar,shyampur
india,west bengal,south 24 parganas,uttar gazipur
sudan,south kordofan,el abassiya,teis
burundi,ruyigi,butezi,kibuye
south africa,western cape,overberg,greytown
sierra leone,northern,koinadugu,yiraia
nigeria,bayelsa,southern ijaw,amassoma
sierra leone,eastern,kenema,tilorma
india,kerala,thrissur,kodungallur
sudan,central darfur,nertiti,boori
india,maharashtra,mumbai suburban,gorai
zimbabwe,masvingo,chiredzi,mkwasine
south africa,gauteng,city of johannesburg,newtown
somalia,jubbada hoose,badhaadhe,dida adey
burkina faso,centre-nord,sanmatenga,bafina
algeria,mostaganem,sidi ali,sidi ali
bangladesh,sylhet,sylhet,gowainghat
nigeria,borno,nganzai,zunfur
kenya,mandera,mandera west,dandu
algeria,bejaia,aokas,aokas
algeria,medea,ouled daid,bouhmama
burundi,bururi,burambi,mwange
india,bihar,katihar,baghmara
algeria,blida,chrea,chrea
nigeria,bayelsa,yenegoa,polaku
chad,wadi fira,kobe,bahai
syria,aleppo,al bab,sheikh aqeel
india,tamil nadu,namakkal,oruvandur
india,haryana,kurukshetra,pindarsi
democratic republic of congo,sud-kivu,sud-kivu,shibunda
sierra leone,southern,bonthe,imperi
democratic republic of congo,orientale,ituri,maga
central african republic,haut-mbomou,djema,maboussou
india,haryana,panipat,ugra kheri
ivory coast,denguele,folon,mandiana
djibouti,tadjourah,randa,amisso daba
syria,hama,hama,qasr ali
india,haryana,palwal,khirbi
iran,lorestan,aligudarz,aligudarz
sierra leone,southern,pujehun,soro gbema
nigeria,adamawa,gombi,fufore
zimbabwe,manicaland,mutare,marange
democratic republic of congo,maniema,maniema,dungu
yemen,taizz,salh,taizz-wadi salah
iraq,diyala,baquba,at tarmiya
yemen,taizz,as silw,jabal as salw
egypt,cairo,el basatin,el basatin sharkeya
syria,aleppo,jebel saman,tuwama
turkey,diyarbakir,cinar,cinar
burundi,muyinga,giteranyi,gacimbiri
india,tamil nadu,dindigul,kodaikanal
india,punjab,bathinda,deon
burundi,bujumbura rural,mutambu,mutambu
nigeria,kano,kumbotso,kumbotso
india,haryana,bhiwani,dhigawa mandi
south africa,kwazulu-natal,zululand,mvutshini
india,assam,cachar,borkhola
south africa,western cape,west coast,lutzville
angola,huila,kuvango,matala
zimbabwe,mashonaland west,hurungwe,chiroti
sierra leone,eastern,kailahun,neama
algeria,alger,el harrach,el harrach
pakistan,fata,bajaur agency,mazdak
bangladesh,dhaka,dhaka,ward no-79
india,assam,tinsukia,digboi
liberia,grand gedeh,gboe-ploe,swe creek
central african republic,bamingui-bangoran,bamingui,ndele
lebanon,baalbek-hermel,baalbek,wadi martabiye
yemen,amanat al asimah,bani al harith,sanaa-bani hawat
india,west bengal,hooghly,goghat
eritrea,gash barka,omhajer,guluj
afghanistan,baghlan,guzargahi nur,guzargahi nur
uganda,nebbi,okoro,gamba
nigeria,kaduna,chikun,narayi
ethiopia,oromia,mirab hararghe,erer tiqa
south africa,eastern cape,alfred nzo,madadana
syria,aleppo,afrin,barband
egypt,sharkia,abu kabir,al haswa
india,uttar pradesh,allahabad,allahabad
mozambique,manica,sussundenga,sussundenga
central african republic,haut-mbomou,djema,djema
pakistan,fata,mohmand agency,lakarai
cameroon,ouest,nde,bangangte
