
ukraine,,vinnyts'ka oblast',hranitne
syria,,muhafazat hims,kafr laha
india,,state of rajasthan,ramdeora
cuba,,provincia de villa clara,sinaloa
gambia,,central river division,dasilami
nepal,kosi zone,purwanchal,bhantabari
nepal,mechi zone,purwanchal,kechana
yemen,mawza,muhafazat ta`izz,
honduras,,departamento de francisco morazan,yaguacire
canada,,high dam lake,
samoa,,,vaisigano river
nigeria,,,barawo
nigeria,,,wari
india,,state of uttar pradesh,hata
central african republic,,,pape
finland,varsinais-suomi,province of western finland,raisio
poland,powiat garwolinski,mazowieckie,garwolin
south africa,uthungulu district municipality,province of kwazulu-natal,nsingweni
philippines,province of pangasinan,ilocos,carlos
south africa,ugu district municipality,province of kwazulu-natal,vulamehlo
burundi,,bururi province,kayange
egypt,,muhafazat al minya,al bayadiyah
el salvador,,departamento de chalatenango,hacienda
central african republic,,,kodo
burundi,,ruyigi province,ndemeka
iraq,,dihok,kistah
india,,state of mizoram,ratu
cameroon,,littoral region,pouma
somalia,,gobolka jubbada hoose,tambo
nigeria,obot akara local government area,akwa ibom state,
mexico,,estado de guerrero,polixtepec
saudi arabia,,mintaqat al madinah,asira
south korea,,jeollanam-do,osiryang
pakistan,,khyber pakhtunkhwa province,aldo
democratic republic of congo,,orientale province,baru
congo,,region de la lekoumou,tala
pakistan,,punjab,kala gujran
brazil,sao fernando,estado do rio grande do norte,sao fernando
ghana,,,new edubiase
afghanistan,,ghor,allah yar
germany,,land mecklenburg-vorpommern,woldegk
nepal,janakpur zone,madhyamanchal,siddha
india,,state of uttar pradesh,pilkhani
united states,mahoning county,ohio,youngstown state university
germany,swabia,freistaat bayern,noerdlingen
uruguay,,departamento de san jose,jose ignacio
algeria,,wilaya de bouira,sidi brahim
belgium,province du hainaut,walloon region,grand place
botswana,,kweneng district,
nigeria,,,orokere
india,,state of uttar pradesh,akrabad
syria,,muhafazat as suwayda',atil
syria,,muhafazat halab,jabbul
nepal,dhawalagiri zone,pashchimanchal,dhami
india,,state of haryana,garhi harsaru
germany,,rheinland-pfalz,weinheim
ecuador,,provincia de manabi,anona
canada,,saskatchewan,danbury
pakistan,,punjab,muridwal
norway,vennesla,vest-agder fylke,
philippines,province of pangasinan,ilocos,maniboc
mexico,,estado de tamaulipas,el americano
georgia,,,kere
el salvador,,departamento de santa ana,san antonio pajonal
argentina,,provincia de jujuy,huacalera
romania,comuna mihaesti,judetul valcea,govora
chad,,chari-baguirmi region,doleri
austria,politischer bezirk scharding,oberoesterreich,achleiten
greece,trikala,thessaly,platanos
nigeria,owo local government area,ondo state,
kyrgyzstan,,naryn oblasty,kyzylsu
venezuela,,estado vargas,punta tanaguarena
brazil,governador nunes freire,estado do maranhao,governador nunes freire
nigeria,,kogi state,ochanja
nigeria,,jigawa state,yalo
algeria,,el tarf,magra
hungary,,bekes county,lokoshaza
australia,alexandrina,state of south australia,yundi
spain,province of toledo,castilla-la mancha,la mata
iran,,esfahan province,biji
germany,regierungsbezirk koln,land nordrhein-westfalen,alsdorf
united states,bibb county,georgia,wesleyan college
estonia,anija vald,harjumaa,rekka
finland,pirkanmaa,province of western finland,
algeria,,oran,bir el djir
pakistan,,punjab,yazman mandi
nigeria,,,kunini
pakistan,,sindh,hazuri
indonesia,,sumatera utara,sipira
zimbabwe,,masvingo province,chaminuka
france,departement de la charente-maritime,region poitou-charentes,le chateau-d'oleron
india,,state of rajasthan,jaitaran
france,departement des hauts-de-seine,region ile-de-france,la garenne-colombes
zimbabwe,,,nyameni
senegal,,region de thies,ngane
peru,san antonio de putina,puno,ananea
germany,,land hessen,wallenfels
canada,,ontario,perm
iraq,,muhafazat dhi qar,albu shihab
indonesia,,provinsi nusa tenggara barat,lombok international airport
australia,,state of new south wales,lighthouse beach
nigeria,,niger state,alawa
canada,estrie,quebec,fatima
iran,,mazandaran province,tineh
australia,,state of queensland,pimpama river
nigeria,,kogi state,magu
australia,,northern territory,crocodile creek
mexico,,estado de tabasco,villahermosa
slovenia,,obcina brezice,veliki obrez
south africa,amathole district municipality,province of eastern cape,mabheleni
united arab emirates,,dubayy,dubai festival city
spain,provincia de valencia,comunitat valenciana,lliria
mauritius,,moka district,melrose
argentina,departamento de concepcion,provincia de corrientes,concepcion
india,,state of rajasthan,mahajan
kenya,,bungoma district,kimaeti
australia,,northern territory,umbakumba
jordan,,muhafazat `amman,al muwaqqar
slovakia,,presovsky kraj,krajna bystra
pakistan,,khyber pakhtunkhwa province,kumhar
india,,state of west bengal,gadkhali
morocco,,region de tanger-tetouan,ouest
papua new guinea,,enga province,wapenamanda airport
bangladesh,,,muzaffarpur
finland,pohjois-karjala,eastern finland province,puso
mexico,,estado de morelos,tetelcingo
philippines,province of cebu,central visayas,magay
afghanistan,,kapisa,garay
india,,state of west bengal,kumardubhi
canada,,manitoba,alexander
france,departement du loir-et-cher,region centre,romilly
iraq,,muhafazat ninawa,khayam
united kingdom,dumfries and galloway,scotland,dunragit
mexico,,estado de guerrero,carrizalillo
nepal,sagarmatha zone,purwanchal,kerung
mozambique,,manica province,gala
nigeria,kauru local government area,kaduna state,
nigeria,,,baranga
lithuania,,,kraziai
thailand,,changwat yasothon,loeng nok tha
south africa,cacadu district municipality,province of eastern cape,dorset
australia,,state of queensland,stewart creek
india,,state of tamil nadu,sendamangalam
syria,,muhafazat hamah,salba
united states,harris county,texas,tomball
egypt,,beheira governorate,kafr ad dawwar
philippines,province of south cotabato,soccsksargen,palkan
sudan,,northern kordofan,kharif
democratic republic of congo,,,makoka
canada,,grattan,
somalia,,gobolka mudug,uarandi
russian federation,,yamalo-nenetskiy avtonomnyy okrug,sabetta
indonesia,,jawa timur,subi
yemen,al talh,shabwah,wadi tawil
mexico,,estado de sonora,rahum
india,,state of haryana,nilothi
sudan,,southern darfur,ras el fil
democratic republic of congo,,,kaika
philippines,province of camarines norte,bicol,daguit
germany,,land niedersachsen,sehnde
argentina,,provincia de cordoba,paunero
bangladesh,,,krishnapura
united states,los angeles county,california,queen mary
mozambique,,sofala province,aldeia canda
india,,state of odisha,balianta
syria,,muhafazat al ladhiqiyah,ghamam
kenya,,nairobi province,ridgeways
syria,,muhafazat hamah,al lataminah
germany,,land niedersachsen,sumte
egypt,,ismailia governorate,mahattat al kibrit
italy,provincia di trapani,sicilia,marsala
pakistan,,balochistan,lashar
democratic republic of congo,,province du bas-congo,malonde
india,,state of madhya pradesh,karwa
yemen,al misrakh,muhafazat ta`izz,hasban
russian federation,,leningradskaya oblast',pasha
turkey,,elazig,basyurt
south sudan,,upper nile,kaka
india,,state of rajasthan,sri dungargarh
india,,state of uttar pradesh,pandaura
india,,state of uttar pradesh,surir
france,departement du nord,region nord-pas-de-calais,teteghem
pakistan,,punjab,mahallah
democratic republic of congo,,,kiata
ethiopia,,tigray region,tabir
nigeria,,,gubula
philippines,province of bulacan,central luzon,
united states,larimer county,colorado,
india,,state of meghalaya,sutnga
australia,"wellington, australia",state of new south wales,elong elong
bangladesh,,rajshahi division,udaipur
china,,hebei sheng,xidian
hungary,,baranya county,
american samoa,,eastern district,
iran,,khuzestan province,sanjar
bulgaria,,burgas,stara zagora airport
turkey,,konya,cumra
mali,,koulikoro region,faladie
laos,,vientiane province,ban nafay phonhong
mozambique,,,sair
gambia,,central river division,mbolgoh
bolivia,,departamento de la paz,trinidad pampa
syria,,muhafazat halab,zaytan
nigeria,,imo state,ekwe
botswana,,north west district,
belgium,province de namur,walloon region,flawinne
serbia,,,zajednica
pakistan,,balochistan,tazia
peru,provincia de chumbivilcas,cusco,pichu
russian federation,,murmanskaya oblast',nora
afghanistan,,badakhshan,khamab
spain,province of asturias,principality of asturias,murias
pakistan,,punjab,panjgrain
israel,,tel aviv district,haqirya
united kingdom,manchester,england,city of manchester stadium
india,,state of rajasthan,maliwara
south korea,,seoul-teukbyeolsi,toksan-dong
canada,,alberta,ranchlands
russian federation,,tatarstan,durga
nepal,seti zone,sudur pashchimanchal,motinagar
tanzania,,zanzibar central/south region,ramla
senegal,,fatick,diamniadio
central african republic,,,baloua
south africa,dr ruth segomotsi mompati district municipality,province of north-west,mokgalong
india,,state of uttar pradesh,devipura
slovenia,,obcina brezice,zgornje rigonce
canada,,alberta,fort kent
australia,,northern territory,harts range
pakistan,,balochistan,chhalgari
france,departement de seine-et-marne,region ile-de-france,lagny-sur-marne
indonesia,,provinsi jawa tengah,gilan
philippines,province of camarines norte,bicol,ponso
united kingdom,cambridgeshire,england,saint neots
ukraine,,donets'ka oblast',avdeyevka
australia,gunnedah,state of new south wales,mullaley
france,departement de l'isere,region rhone-alpes,moirans
india,,state of punjab,gurusar
iran,,markazi province,nazi
pakistan,,sindh,achan
romania,comuna secuieni,judetul bacau,fundeni
bulgaria,obshtina glavinitsa,oblast silistra,zafirovo
yemen,jardan,shabwah,`iyadh
united states,wayne county,michigan,dearborn heights
pakistan,,sindh,jhande
cuba,,provincia de matanzas,maximo gomez
iraq,,muhafazat al anbar,albu jalib
saudi arabia,,,ghanim
sweden,munkedals kommun,vaestra goetalands laen,munkedal
france,departement de meurthe-et-moselle,region lorraine,joeuf
germany,,land niedersachsen,haltern
tanzania,muheza district,tanga region,
bangladesh,,,mamudpur
india,,state of uttar pradesh,kulpahar
gambia,,western division,tujering
zambia,,central province,chilo
nigeria,,,sasa
papua new guinea,,west sepik province,green river
nigeria,,borno state,durkwa
bangladesh,,,palar
sri lanka,,western province,malagala
iran,,khuzestan province,safiabad
india,,state of rajasthan,bassi
"moldova, republic of",,municipiul chisinau,buiucani
syria,,muhafazat rif dimashq,buqayn
occupied palestinian territory,,west bank,al haram ash sharif
thailand,,changwat chaiyaphum,khon san
czech republic,,,bela
india,,state of uttarakhand,khati
india,,state of uttar pradesh,niwada
turkey,,bingoel,hidan
cyprus,,larnaca district,pyrga
canada,,manitoba,virden
canada,laval,quebec,vimont
hungary,,zala megye,letenye
spain,provincia de navarra,navarra,andosilla
germany,regierungsbezirk unterfranken,freistaat bayern,kitzingen
syria,,muhafazat halab,qasr al ward
algeria,,wilaya de biskra,foughala
angola,,kuando kubango,cutato
india,,,pakhyong
united states,polk county,minnesota,east grand forks
russian federation,,tverskaya oblast',krasnoye znamya
zambia,,western province,soma
poland,powiat makowski,mazowieckie,makow mazowiecki
thailand,,changwat songkhla,na mom
indonesia,,provinsi nusa tenggara timur,sola
france,departement de la moselle,region lorraine,guenange
brazil,fortaleza,estado do ceara,pinto martins
lithuania,rokiskis,panevezio apskritis,
rwanda,,southern province,mugombwa
tanzania,,singida region,kititimo
guatemala,,departamento de huehuetenango,concepcion
somalia,,gobolka bay,warabale
syria,,ar raqqah,sahl
pakistan,,khyber pakhtunkhwa province,bargari
india,,state of rajasthan,alai
angola,,kwanza sul,chitonde
tajikistan,,viloyati khatlon,dahana
india,,state of uttar pradesh,luhari
india,,state of uttar pradesh,khoria
russian federation,,respublika kareliya,salma
pakistan,,punjab,bhillowal
peru,,huancavelica,escalante
japan,mono-gun,,
singapore,,jurong lake,
netherlands,,provincie drenthe,
argentina,partido de tigre,provincia de buenos aires,nordelta
burkina faso,province du kenedougou,high-basins region,samorogouan
lithuania,,,liaudiskiai i
greece,nomos arkadias,peloponnese,voutsis
australia,albury municipality,state of new south wales,table top
germany,,freistaat sachsen,merka
philippines,province of camarines sur,bicol,rawis
india,,state of karnataka,bellare
india,,state of andhra pradesh,gurtedu
nigeria,kebbe local government area,sokoto state,
nigeria,yagba east,kogi state,
russian federation,,sverdlovskaya oblast',arti
thailand,,changwat chiang rai,doi luang
democratic republic of congo,,,unga
united states,mora county,new mexico,ashe
greece,nomos chalkidikis,central macedonia,nea tenedhos
tanzania,ludewa district,njombe region,
tanzania,,pemba south region,mkomani
chile,provincia de limari,coquimbo,san felix
malawi,chitipa district,northern region,luwawa
ghana,,,sege
democratic republic of congo,,,hoshi
india,,state of haryana,sadalpur
canada,,kootenay,
hungary,,zala megye,sagod
iran,,khuzestan province,kerishan-e yek
yemen,dhubab,muhafazat ta`izz,wahijah
niger,,zinder,baroua
syria,,ar raqqah,madan
australia,,state of western australia,bardi
india,,state of tamil nadu,siruvalur
greece,nomos kykladon,south aegean,tinos
tajikistan,,viloyati khatlon,toshtepa
iran,,hormozgan province,safil
belgium,province du hainaut,walloon region,constantin
nigeria,,,faleye
mauritius,,nicolas bay,
argentina,,provincia de entre rios,santa elena
australia,marion,state of south australia,oaklands
india,,state of rajasthan,uniara
india,,state of bihar,kotwa
china,,sichuan sheng,liucheng
zambia,,lusaka province,manyama
angola,,cunene province,humbe
uganda,apac district,northern region,aduku
nepal,rapti zone,madhya pashchimanchal,bisara
malaysia,,pahang,sungai isap
india,,state of madhya pradesh,badnawar
cameroon,,,nyong
mozambique,,manica province,amatongas
venezuela,,estado carabobo,cartanal
turkey,seyhan,adana,
philippines,province of aklan,western visayas,kabangahan
peru,provincia de cotabambas,apurimac,challhuahuacho
russian federation,,irkutskaya oblast',minya
india,,,tiruchirappalli international airport
united states,conecuh county,alabama,langham
afghanistan,zarghun shahr,paktika,
uganda,iganga district,eastern region,bugongo
canada,,manitoba,lockport
afghanistan,,nangarhar,torah chinah
france,departement de l'ain,region rhone-alpes,frans
india,,state of andhra pradesh,dugarajupatnam
united states,philadelphia county,pennsylvania,schuylkill river
yemen,kamaran,muhafazat al hudaydah,kamaran island
pakistan,,azad kashmir,kachri
austria,politischer bezirk suedoststeiermark,steiermark,bad radkersburg
mexico,tenancingo,estado de mexico,san miguel tecomatlan
pakistan,,federally administered tribal areas,kachari
nigeria,,kaduna state,kakau
united states,cape girardeau county,missouri,cape girardeau
tanzania,,singida region,ikungi
indonesia,,provinsi kalimantan tengah,jabiren
australia,cabonne,state of new south wales,burdett
thailand,amphoe chiang dao,chiang mai province,chiang dao
russian federation,,rostovskaya oblast',semikarakorsk
japan,,tokyo-to,akishima
nigeria,shiroro local government area,niger state,
nigeria,,,jangurori
japan,,saitama-ken,harajuku
united states,rogers county,oklahoma,
somalia,,gobolka bay,labatan jirow
syria,,muhafazat al hasakah,malik
nigeria,akuku-toru local government area,rivers state,
solomon islands,,rennell and bellona,tigoa
malaysia,,kelantan,kelatan
myanmar,,bago region,chaubey
mali,,mopti region,ogui
sudan,,western darfur,bardani
philippines,,samal island,
denmark,,region hovedstaden,helsingor nordhavn
australia,,state of new south wales,menangle park
australia,kalgoorlie/boulder,state of western australia,lakewood
dominican republic,,provincia espaillat,rincon
the former yugoslav republic of macedonia,,gazi baba,
nigeria,,akwa ibom state,enen atai
madagascar,,,fenoarivobe
tanzania,,pemba south region,chokocho
lebanon,,lebanon mountains,
ukraine,,khersons'ka oblast',chaplynka
spain,provincia da coruna,galicia,curtis
argentina,,provincia del chaco,campo largo
india,,state of jharkhand,kura
pakistan,,punjab,aujla
germany,,land nordrhein-westfalen,wertheim
india,,state of madhya pradesh,karanpathar
madagascar,,haute matsiatra region,ikalamavony
mozambique,,tete,tambara
pakistan,,punjab,daira
south sudan,,western equatoria,maridi
germany,,land mecklenburg-vorpommern,rothenburg
afghanistan,,bamyan,zarsang
bulgaria,obshtina kula,oblast vidin,golemanovo
croatia,,zagreb county,harmica
australia,wollongong,state of new south wales,wombarra
canada,,new brunswick,minto
el salvador,,departamento de san miguel,san pedro
poland,powiat braniewski,wojewodztwo warminsko-mazurskie,pieniezno
tanzania,,tabora region,ulyankulu
armenia,,lorru marz,tashir
brazil,esperantina,estado do piaui,esperantina
mexico,,estado de tamaulipas,maria elena
ukraine,,avtonomna respublika krym,ozero donuzlav
croatia,,vukovarsko-srijemska zupanija,
france,departement de la moselle,region lorraine,fameck
saudi arabia,,makkah,al waht
turkey,,bolu,mudurnu
colombia,,departamento de la guajira,majayura
mozambique,,manica province,vanduzi
ethiopia,,oromiya region,gola
taiwan,t'ai-pei shih,,songshan district
gambia,,lower river division,macca
united states,norfolk county,massachusetts,cushing
spain,province of asturias,principality of asturias,camino
india,,state of andhra pradesh,hardaspur
australia,greater bendigo,state of victoria,california gully
indonesia,,provinsi lampung,pringsewu
philippines,province of pangasinan,ilocos,palong
taiwan,,,hengchun airport
india,,state of rajasthan,badhal
canada,,coventry hills,
poland,powiat sokolski,podlaskie,bohoniki
estonia,pihtla vald,saaremaa,kaali
portugal,leiria,distrito de leiria,fontainhas
france,departement de l'isere,region rhone-alpes,charvieu-chavagneux
philippines,,calabarzon,grace park
chad,,mayo-kebbi west region,guegou
colombia,,departamento de cordoba,palmitos
mozambique,,provincia de zambezia,anibal
burundi,,bururi province,mabuga
syria,,muhafazat rif dimashq,dayr al asafir
united states,stillwater county,montana,
yemen,al dhaher,muhafazat sa`dah,
south africa,waterberg district municipality,limpopo,mapela
pakistan,,punjab,amarkot
canada,,saskatchewan,delmas
nigeria,,,ugbene
pakistan,,punjab,ramghar
pakistan,,punjab,nandgarh
india,,,alaknanda river
sweden,ronneby kommun,blekinge,rodby
nigeria,,benue state,otobi
papua new guinea,,gulf province,kerewa
venezuela,,territorio federal delta amacuro,la linea
china,,fujian sheng,qiyang
czech republic,,olomoucky kraj,zastavka
sudan,,al jazirah state,dawmah
germany,,land niedersachsen,handeloh
nigeria,,borno state,ngubala
kenya,,embu district,itabua
poland,,podlaskie,zofiowka
greece,nomos dodekanisou,south aegean,elaionas
nigeria,,katsina state,kolori
india,,state of gujarat,damnagar
brazil,acailandia,estado do maranhao,acailandia
ghana,wa west,upper west region,
syria,,muhafazat halab,biyanun
united kingdom,essex,england,great dunmow
iran,,hormozgan province,henguyeh
philippines,province of aurora,central luzon,suklayin
germany,,,moselle river
india,,state of punjab,chhaba
thailand,,chiang mai province,wiang haeng
taiwan,,taiwan,jialushe
india,,state of andhra pradesh,utkur
democratic republic of congo,,,kisimba
germany,,land nordrhein-westfalen,beck
ghana,,,banu
madagascar,,,ankazoabo
nigeria,,,olote
brazil,aiuaba,estado do ceara,satao
pakistan,,balochistan,jiwani airport
mali,,kidal region,
guatemala,,departamento de san marcos,la blanca
bangladesh,,borishal,kutba
spain,provincia de ourense,galicia,cualedro
somalia,,gobolka woqooyi galbeed,gaboobe
dominica,,saint david,good hope
austria,politischer bezirk braunau am inn,oberoesterreich,braunau am inn
saudi arabia,,,harf
tanzania,,singida region,igogo
thailand,,changwat loei,erawan
namibia,,karas,kosis
madagascar,,,ampasanimalo
panama,,provincia de herrera,parita
united states,spartanburg county,south carolina,
zambia,,eastern province,mageza
philippines,province of laguna,calabarzon,casa real
nicaragua,,,canton
south africa,waterberg district municipality,limpopo,pienaarsrivier
germany,,land niedersachsen,marlin
spain,provincia de madrid,comunidad de madrid,san martin de la vega
austria,politischer bezirk neusiedl am see,burgenland,parndorf
india,,state of madhya pradesh,sitamau
bolivia,,el beni,vallejos
india,,state of haryana,mansurpur
united states,,little traverse bay,
swaziland,,,mlawula
nigeria,,,ubiane
france,departement de l'isere,region rhone-alpes,l'eglise
sweden,stroemsunds kommun,jaemtlands laen,stroemsund
china,,tibet autonomous region,rimai
india,,state of rajasthan,kothar
sweden,overkalix kommun,norrbotten,stromsund
france,departement de la somme,region picardie,roye
india,,state of haryana,siwani
germany,regierungsbezirk munster,land nordrhein-westfalen,leer
nicaragua,,departamento de leon,guanacaste
morocco,,region de fes-boulemane,mzab
bangladesh,,rajshahi division,syampur
iraq,,muhafazat al basrah,talhah
brazil,janduis,estado do rio grande do norte,setubal
russian federation,,respublika adygeya,adygeysk
japan,,ishikawa-ken,ukawa
philippines,province of south cotabato,soccsksargen,palian
united arab emirates,,ash shariqah,university city
cuba,,provincia granma,quemado
iran,,hamadan province,kark-e sofla
spain,provincia de navarra,navarra,aras
spain,province of toledo,castilla-la mancha,villafranca de los caballeros
somalia,,gobolka shabeellaha hoose,tiyeegle
germany,,land niedersachsen,heidenau
india,,state of madhya pradesh,garhakota
united states,,warwick cove,
angola,,lunda norte province,matenda
costa rica,,provincia de limon,portete
belize,,orange walk district,santa cruz
belize,,corozal district,
gambia,,central river division,sami
italy,provincia di rieti,lazio,buda
nigeria,,kebbi state,suru
united kingdom,gateshead,england,winlaton
afghanistan,,daykundi,chaharshanbah
finland,osterbotten,province of western finland,blom
south korea,,gyeongsangbuk-do,sungam
yemen,al musaymir,muhafazat lahij,sirhan
iran,,hormozgan province,north bank
ukraine,,rivnens'ka oblast',myrne
nepal,sagarmatha zone,purwanchal,bhardaha
australia,cooma-monaro,state of new south wales,nimmitabel
turkey,,sivas,mescit
nigeria,,cross river state,old netim
iran,,khuzestan province,foruzan
united states,rice county,kansas,sterling college
ecuador,,provincia de loja,saraguro
russian federation,,udmurtskaya respublika,udmurtskoye gondyrevo
iran,,hamadan province,golabad
egypt,,,luxor airport
jamaica,,parish of clarendon,mason river
burkina faso,province d' oubritenga,plateau-central,tanguin
ethiopia,,"southern nations, nationalities, and people's region",areka
bangladesh,,rangpur division,rangaon
yemen,al qafr,,rihab
saudi arabia,,,zahran
russian federation,,tambovskaya oblast',ramza
pakistan,,azad kashmir,mendhar
india,,state of andhra pradesh,rajapet
afghanistan,,sar-e pul,sar-e pul
china,,jiangsu sheng,taihu
bosnia and herzegovina,,federation of bosnia and herzegovina,bijaca
india,,state of uttarakhand,clement town
ukraine,,luhans'ka oblast',bolotnennoye
tanzania,,kilimanjaro region,usangi
philippines,province of laguna,calabarzon,dagatan
peru,,madre de dios,
china,,qinghai sheng,xinyuan
australia,,state of south australia,victor harbour
pakistan,,punjab,ganda singhwala
azerbaijan,,qazakh rayon,qaymaqli
madagascar,,,tsaratanana
liberia,bopolu,gbarpolu county,
india,,state of bihar,bazidpur
democratic republic of congo,,province du bas-congo,ngau
botswana,,,lehututu
liberia,,montserrado county,clay ashland
albania,rrethi i shkodres,qarku i shkodres,
jamaica,,parish of saint ann,gloster
namibia,,caprivi,kalimbeza
afghanistan,,kandahar,tsalgari
gabon,,province du woleu-ntem,medouneu
india,,state of jammu and kashmir,taya
czech republic,,karlovarsky kraj,ostrov
turkey,,kuetahya,gelinkaya
italy,provincia di palermo,sicilia,cefalu
brazil,,estado do rio de janeiro,marina da gloria
philippines,province of agusan del norte,caraga,la fraternidad
yemen,,al khadra,
russian federation,,volgogradskaya oblast',petrov
india,,state of punjab,hariau
chad,,salamat region,barda
slovenia,,komen,
democratic republic of congo,,,ihula
niger,,zinder,kangaleri
australia,,montebello islands,
india,,state of rajasthan,hurara
chad,,hadjer-lamis,tchoukou
democratic republic of congo,,,lusenda
turkey,,guemueshane,inkilap
venezuela,municipio paez,estado zulia,sinamaica
syria,,muhafazat hamah,al bahsah
angola,,,cassequel
angola,,cunene province,ruacana
netherlands,gemeente goeree-overflakkee,provincie zuid-holland,
bolivia,,departamento de la paz,huara
yemen,yarim,,arad
philippines,province of south cotabato,soccsksargen,kipalbig
iran,,yazd province,kermanshah
latvia,,jekabpils municipality,sauka
congo,,plateaux,ango
indonesia,,provinsi nusa tenggara timur,taraba
india,,state of rajasthan,ghotaru
lebanon,,mohafazat liban-sud,borj rahhal
india,,state of uttarakhand,pitambarpur
ghana,builsa,upper east region,
ukraine,,misto sevastopol',kulykove pole
nigeria,,,iguododo
turkey,,erzurum,duman
iran,,khuzestan province,soveyreh
yemen,,muhafazat sa`dah,al qama
japan,,yamagata-ken,yonezawa
india,,state of punjab,sohian kalan
malaysia,,melaka,kampung lapan
afghanistan,,nimroz,tarani
india,,state of uttar pradesh,ghasipura
burundi,,bujumbura rural province,ruvyagira
yemen,,muhafazat hajjah,wadi al jarah
russian federation,,tverskaya oblast',samsonova
colombia,,departamento de cordoba,las palomas
united states,lane county,oregon,pryor
bangladesh,,,azampur
pakistan,ghanche district,northern areas,
france,,region rhone-alpes,trion
nigeria,,,andaha
