"gwcode","iso3c","country_name"
940,"SOL","Solomon Islands"
950,"FJI","Fiji"
54,"DMA","Dominica"
55,"GRN","Grenada"
56,"SLU","Saint Lucia"
57,"SVG","Saint Vincent and the Grenadines"
58,"AAB","Antigua & Barbuda"
60,"SKN","Saint Kitts and Nevis"
221,"MNC","Monaco"
223,"LIE","Liechtenstein"
331,"SNM","San Marino"
232,"AND","Andorra"
396,"ABK","Abkhazia"
397,"SOT","South Ossetia"
403,"STP","São Tomé and Principe"
591,"SEY","Seychelles"
935,"VAN","Vanuatu"
970,"KBI","Kiribati"
971,"NAU","Nauru"
972,"TON","Tonga"
973,"TUV","Tuvalu"
983,"MSI","Marshall Islands"
986,"PAL","Palau"
987,"FSM","Federated States of Micronesia"
990,"WSM","Samoa/Western Samoa"
