"","date8"
"169","20171112"
"170","20171112"
"171","20171113"
"172","20171113"
"173","20171113"
"174","20171113"
"175","20171113"
"176","20171113"
"177","20171113"
"178","20171113"
"179","20171113"
"180","20171113"
"181","20171113"
"182","20171113"
"183","20171113"
"184","20171113"
"185","20171113"
"186","20171113"
"187","20171113"
"188","20171113"
"189","20171113"
"190","20171113"
"191","20171113"
"192","20171114"
"193","20171114"
"194","20171114"
"195","20171114"
"196","20171116"
"197","20171116"
"198","20171116"
"199","20171116"
"200","20171116"
"201","20171116"
"202","20171116"
"203","20171116"
"204","20171116"
"205","20171116"
"206","20171116"
"207","20171116"
"208","20171116"
"209","20171116"
"210","20171116"
"211","20171116"
"212","20171116"
"213","20171116"
"214","20171116"
"215","20171116"
"216","20171116"
"217","20171116"
"218","20171116"
"219","20171117"
"220","20171117"
"221","20171117"
"222","20171117"
"223","20171117"
"224","20171117"
"225","20171117"
"226","20171117"
"227","20171117"
"228","20171117"
"229","20171117"
"230","20171118"
"231","20171118"
"232","20171118"
"233","20171118"
"234","20171118"
"235","20171118"
"236","20171118"
"237","20171118"
"238","20171118"
"239","20171118"
"240","20171118"
"241","20171118"
"242","20171118"
"243","20171118"
"244","20171118"
"245","20171119"
"246","20171119"
"247","20171119"
"248","20171119"
"249","20171119"
"250","20171119"
"251","20171119"
"252","20171119"
"253","20171120"
"254","20171120"
"255","20171120"
"256","20171120"
"257","20171120"
"258","20171120"
"259","20171120"
"260","20171120"
"261","20171120"
"262","20171120"
"263","20171120"
"264","20171121"
"265","20171121"
"266","20171121"
"267","20171121"
"268","20171121"
"269","20171127"
"270","20171127"
"271","20171127"
"272","20171127"
"273","20171127"
"274","20171127"
"275","20171127"
"276","20171127"
"277","20171127"
"278","20171127"
"279","20171127"
"280","20171127"
"281","20171128"
"282","20171128"
"283","20171128"
"284","20171128"
"285","20171128"
"286","20171128"
"287","20171128"
"288","20171128"
"289","20171128"
"290","20171128"
"291","20171128"
"292","20171128"
"293","20171128"
"294","20171128"
"295","20171128"
"296","20171128"
"297","20171128"
"298","20171128"
"299","20171128"
"300","20171128"
"301","20171128"
"302","20171128"
"303","20171128"
"304","20171128"
"305","20171128"
"306","20171128"
"307","20171129"
"308","20171129"
"309","20171129"
"310","20171129"
"311","20171129"
"312","20171129"
"313","20171129"
"314","20171129"
"315","20171129"
"316","20171129"
"317","20171129"
"318","20171129"
"319","20171129"
"320","20171129"
"321","20171129"
"322","20171129"
"323","20171129"
"324","20171129"
"325","20171129"
"326","20171129"
"327","20171129"
"328","20171129"
"329","20171129"
"330","20171129"
"331","20171129"
"332","20171129"
"333","20171129"
"334","20171130"
"335","20171130"
"336","20171130"
"337","20171130"
"338","20171130"
"339","20171130"
"340","20171130"
"341","20171130"
"342","20171130"
"343","20171130"
"344","20171130"
"345","20171130"
"346","20171130"
"347","20171201"
"348","20171201"
"349","20171201"
"350","20171201"
"351","20171201"
"352","20171202"
"353","20171202"
"354","20171203"
"355","20171206"
"356","20171206"
"357","20171206"
"358","20171207"
"359","20171207"
"360","20171207"
"361","20171207"
"362","20171207"
"363","20171207"
"364","20171207"
"365","20171207"
"366","20171207"
"367","20171207"
"368","20171207"
"369","20171207"
"370","20171207"
"371","20171207"
"372","20171207"
"373","20171207"
"374","20171207"
"375","20171207"
"376","20171207"
"377","20171207"
"378","20171207"
"379","20171207"
"380","20171207"
"381","20171207"
"382","20171207"
"383","20171207"
"384","20171207"
"385","20171207"
"386","20171207"
"387","20171207"
"388","20171207"
"389","20171207"
"390","20171207"
"391","20171207"
"392","20171207"
"393","20171207"
"394","20171207"
"395","20171207"
"396","20171207"
"397","20171207"
"398","20171207"
"399","20171207"
"400","20171207"
"401","20171207"
"402","20171207"
"403","20171207"
"404","20171207"
"405","20171207"
"406","20171207"
"407","20171207"
"408","20171207"
"409","20171207"
"410","20171207"
"411","20171207"
"412","20171207"
"413","20171207"
"414","20171208"
"415","20171208"
"416","20171208"
"417","20171208"
"418","20171208"
"419","20171208"
"420","20171208"
"421","20171208"
"422","20171208"
"423","20171208"
"424","20171208"
"425","20171208"
"426","20171208"
"427","20171208"
"428","20171208"
"429","20171208"
"430","20171208"
"431","20171208"
"432","20171208"
"433","20171208"
"434","20171208"
"435","20171208"
"436","20171208"
"437","20171208"
"438","20171208"
"439","20171208"
"440","20171208"
"441","20171208"
"442","20171209"
"443","20171209"
"444","20171209"
"445","20171209"
"446","20171209"
"447","20171209"
"448","20171209"
"449","20171209"
"450","20171209"
"451","20171209"
"452","20171209"
"453","20171209"
"454","20171209"
"455","20171209"
"456","20171209"
"457","20171209"
"458","20171209"
"459","20171209"
"460","20171209"
"461","20171209"
"462","20171209"
"463","20171209"
"464","20171209"
"465","20171210"
"466","20171210"
"467","20171210"
"468","20171210"
"469","20171210"
"470","20171210"
"471","20171210"
"472","20171210"
"473","20171210"
"474","20171210"
"475","20171210"
"476","20171210"
"477","20171210"
"478","20171210"
"479","20171211"
"480","20171211"
"481","20171211"
"482","20171211"
"483","20171211"
"484","20171211"
"485","20171211"
"486","20171211"
"487","20171211"
"488","20171211"
"489","20171211"
"490","20171211"
"491","20171211"
"492","20171211"
"493","20171211"
"494","20171211"
"495","20171211"
"496","20171212"
"497","20171212"
"498","20171212"
"499","20171212"
"500","20171212"
"501","20171212"
"502","20171212"
"503","20171212"
"504","20171212"
"505","20171212"
"506","20171212"
"507","20171212"
"508","20171212"
"509","20171212"
"510","20171213"
"511","20171213"
"512","20171213"
"513","20171213"
"514","20171213"
"515","20171213"
"516","20171213"
"517","20171218"
"518","20171218"
"519","20171218"
"520","20171218"
"521","20171218"
"522","20171218"
"523","20171218"
"524","20171218"
"525","20171218"
"526","20171219"
"527","20171219"
"528","20171219"
"529","20171219"
"530","20171219"
"531","20171219"
"532","20171219"
"533","20171219"
"534","20171219"
"535","20171219"
"536","20171219"
"537","20171219"
"538","20171219"
"539","20171219"
"540","20171219"
"541","20171219"
"542","20171219"
"543","20171220"
"544","20171220"
"545","20171220"
"546","20171220"
"547","20171220"
"548","20171220"
"549","20171220"
"550","20171220"
"551","20171220"
"552","20171220"
"553","20171225"
"554","20171225"
"555","20171225"
"556","20171225"
"557","20171225"
"558","20171225"
"559","20171225"
"560","20171225"
"561","20171225"
"562","20171225"
"563","20171225"
"564","20171225"
"565","20171225"
"566","20171225"
"567","20171226"
"568","20171226"
"569","20171226"
"570","20171226"
"571","20171226"
"572","20171226"
"573","20171226"
"574","20171227"
"575","20171227"
"576","20171227"
"577","20171227"
"578","20171227"
"579","20171227"
"580","20171227"
"581","20171227"
"582","20171227"
"583","20171227"
"584","20171227"
"585","20171228"
"586","20171228"
"587","20171228"
"588","20180103"
"589","20180103"
"590","20180103"
"591","20180103"
"592","20180103"
"593","20180103"
"594","20180103"
"595","20180104"
"596","20180104"
"597","20180104"
"598","20180104"
"599","20180105"
"600","20180106"
"601","20180106"
"602","20180106"
"603","20180106"
"604","20180106"
"605","20180106"
"606","20180106"
"607","20180105"
"608","20180106"
"609","20180106"
"610","20180105"
"611","20180105"
"612","20180106"
"613","20180105"
"614","20180105"
"615","20180105"
"616","20180105"
"617","20180105"
"618","20180105"
"619","20180105"
"620","20180105"
"621","20180105"
"622","20180105"
"623","20180105"
"624","20180106"
"625","20180106"
"626","20180106"
"627","20180106"
"628","20180106"
"629","20180106"
"630","20180106"
"631","20180107"
"632","20180107"
"633","20180107"
"634","20180107"
"635","20180107"
"636","20180107"
"637","20180107"
"638","20180107"
"639","20180107"
"640","20180107"
"641","20180107"
"642","20180107"
"643","20180108"
"644","20180108"
"645","20180108"
"646","20180108"
"647","20180108"
"648","20180108"
"649","20180108"
"650","20180108"
"651","20180108"
"652","20180108"
"653","20180108"
"654","20180108"
"655","20180108"
"656","20180108"
"657","20180108"
"658","20180108"
"659","20180108"
"660","20180108"
"661","20180109"
"662","20180109"
"663","20180109"
"664","20180109"
"665","20180109"
"666","20180109"
"667","20180109"
"668","20180109"
"669","20180109"
"670","20180109"
"671","20180109"
"672","20180109"
"673","20180109"
"674","20180109"
"675","20180109"
"676","20180109"
"677","20180109"
"678","20180109"
"679","20180109"
"680","20180109"
"681","20180109"
"682","20180110"
"683","20180110"
"684","20180110"
"685","20180110"
"686","20180110"
"687","20180110"
"688","20180110"
"689","20180110"
"690","20180110"
"691","20180111"
"692","20180111"
"693","20180111"
"694","20180111"
"695","20180111"
"696","20180111"
"697","20180111"
"698","20180111"
"699","20180111"
"700","20180111"
"701","20180111"
"702","20180111"
"703","20180111"
"704","20180111"
"705","20180112"
"706","20180112"
"707","20180112"
"708","20180112"
"709","20180112"
"710","20180112"
"711","20180112"
"712","20180115"
"713","20180115"
"714","20180115"
"715","20180115"
"716","20180115"
"717","20180115"
"718","20180115"
"719","20180115"
"720","20180115"
"721","20180115"
"722","20180115"
"723","20180115"
"724","20180115"
"725","20180115"
"726","20180118"
"727","20180118"
"728","20180118"
"729","20180118"
"730","20180118"
"731","20180118"
"732","20180118"
"733","20180118"
"734","20180118"
"735","20180118"
"736","20180118"
"737","20180118"
"738","20180118"
"739","20180118"
"740","20180118"
"741","20180118"
"742","20180118"
"743","20180119"
"744","20180119"
"745","20180119"
"746","20180124"
"747","20180124"
"748","20180124"
"749","20180124"
"750","20180124"
"751","20180125"
"752","20180125"
"753","20180124"
"754","20180124"
"755","20180124"
"756","20180124"
"757","20180124"
"758","20180125"
"759","20180125"
"760","20180125"
"761","20180125"
"762","20180125"
"763","20180125"
"764","20180125"
"765","20180125"
"766","20180129"
"767","20180129"
"768","20180129"
"769","20180129"
"770","20180129"
"771","20180129"
"772","20180129"
"773","20180129"
"774","20180130"
"775","20180130"
"776","20180130"
"777","20180130"
"778","20180130"
"779","20180130"
"780","20180130"
"781","20180130"
"782","20180130"
"783","20180130"
"784","20180130"
"785","20180130"
"786","20180130"
"787","20180130"
"788","20180131"
"789","20180131"
"790","20180131"
"791","20180131"
"792","20180131"
"793","20180201"
"794","20180201"
"795","20180201"
"796","20180201"
"797","20180201"
"798","20180201"
"799","20180201"
"800","20180201"
"801","20180201"
"802","20180201"
"803","20180201"
"804","20180201"
"805","20180201"
"806","20180201"
"807","20180201"
"808","20180202"
"809","20180202"
"810","20180202"
"811","20180202"
"812","20180202"
"813","20180202"
"814","20180203"
"815","20180203"
"816","20180203"
"817","20180203"
"818","20180203"
"819","20180203"
"820","20180203"
"821","20180203"
"822","20180204"
"823","20180204"
"824","20180204"
"825","20180204"
"826","20180204"
"827","20180205"
"828","20180205"
"829","20180205"
"830","20180205"
"831","20180205"
"832","20180205"
"833","20180205"
"834","20180205"
"835","20180205"
"836","20180205"
"837","20180205"
"838","20180205"
"839","20180206"
"840","20180206"
"841","20180206"
"842","20180206"
"843","20180206"
"844","20180206"
"845","20180206"
"846","20180206"
"847","20180206"
"848","20180206"
"849","20180206"
"850","20180207"
"851","20180207"
"852","20180206"
"853","20180207"
"854","20180206"
"855","20180206"
"856","20180206"
"857","20180206"
"858","20180206"
"859","20180206"
"860","20180206"
"861","20180206"
"862","20180206"
"863","20180206"
"864","20180207"
"865","20180207"
"866","20180207"
"867","20180207"
"868","20180207"
"869","20180207"
"870","20180207"
"871","20180207"
"872","20180207"
"873","20180207"
"874","20180207"
"875","20180207"
"876","20180207"
"877","20180207"
"878","20180207"
"879","20180207"
"880","20180208"
"881","20180208"
"882","20180208"
"883","20180209"
"884","20180209"
"885","20180209"
"886","20180208"
"887","20180209"
"888","20180209"
"889","20180209"
"890","20180212"
"891","20180212"
"892","20180212"
"893","20180212"
"894","20180212"
"895","20180212"
"896","20180213"
"897","20180213"
"898","20180213"
"899","20180212"
"900","20180212"
"901","20180212"
"902","20180212"
"903","20180212"
"904","20180212"
"905","20180213"
"906","20180213"
"907","20180213"
"908","20180213"
"909","20180213"
"910","20180213"
"911","20180213"
"912","20170327"
"913","20170328"
"914","20180213"
"915","20180214"
"916","20180214"
"917","20180214"
"918","20180214"
"919","20180214"
"920","20180214"
"921","20180214"
"922","20180215"
"923","20180215"
"924","20180215"
"925","20180215"
"926","20180215"
"927","20180215"
"928","20180215"
"929","20180215"
"930","20180215"
"931","20180215"
"932","20180215"
"933","20180215"
"934","20180215"
"935","20180215"
"936","20180216"
"937","20180216"
"938","20180216"
"939","20180216"
"940","20180216"
"941","20180216"
"942","20180216"
"943","20180216"
"944","20180216"
"945","20180216"
"946","20180215"
"947","20180215"
"948","20180215"
"949","20180215"
"950","20180215"
"951","20180215"
"952","20180215"
"953","20180215"
"954","20180216"
"955","20180216"
"956","20180216"
"957","20180216"
"958","20180216"
"959","20180216"
"960","20180216"
"961","20180216"
"962","20180216"
"963","20180216"
"964","20180216"
"965","20180216"
"966","20180216"
"967","20180216"
"968","20180216"
"969","20180216"
"970","20180216"
"971","20180216"
"972","20180216"
"973","20180216"
"974","20180216"
"975","20180216"
"976","20180216"
"977","20180216"
"978","20180216"
"979","20180216"
"980","20180216"
"981","20180219"
"982","20180219"
"983","20180219"
"984","20180219"
"985","20180219"
"986","20180219"
"987","20180219"
"988","20180219"
"989","20180219"
"990","20171031"
"991","20171031"
"992","20171031"
"993","20180203"
"994","20180203"
"995","20180321"
"996","20180321"
"997","20180321"
"998","20180321"
"999","20180321"
"1000","20180321"
"1001","20180321"
"1002","20180321"
"1003","20180224"
"1004","20180225"
"1005","20180225"
"1006","20180226"
"1007","20180226"
"1008","20180226"
"1009","20180227"
"1010","20180227"
"1011","20180227"
"1012","20180227"
"1013","20180301"
"1014","20180301"
"1015","20180302"
"1016","20180302"
"1017","20180302"
"1018","20180303"
"1019","20180303"
"1020","20180303"
"1021","20180303"
"1022","20180303"
"1023","20180304"
"1024","20180305"
"1025","20180305"
"1026","20180305"
"1027","20180305"
"1028","20180306"
"1029","20180306"
"1030","20180308"
"1031","20180308"
"1032","20180308"
"1033","20180308"
"1034","20180308"
"1035","20180308"
"1036","20180308"
"1037","20180308"
"1038","20180308"
"1039","20180308"
"1040","20180310"
"1041","20180310"
"1042","20180310"
"1043","20180310"
"1044","20180310"
"1045","20180310"
"1046","20180310"
"1047","20180310"
"1048","20180310"
"1049","20180310"
"1050","20180310"
"1051","20180310"
"1052","20180310"
"1053","20180310"
"1054","20180310"
"1055","20180310"
"1056","20180311"
"1057","20180311"
"1058","20180311"
"1059","20180311"
"1060","20180311"
"1061","20180311"
"1062","20180311"
"1063","20180311"
"1064","20180311"
"1065","20180311"
"1066","20180311"
"1067","20180311"
"1068","20180311"
"1069","20180311"
"1070","20180311"
"1071","20180313"
"1072","20180313"
"1073","20180314"
"1074","20180314"
"1075","20180314"
"1076","20180314"
"1077","20180314"
"1078","20180314"
"1079","20180315"
"1080","20180315"
"1081","20180315"
"1082","20180315"
"1083","20180315"
"1084","20171031"
"1085","20171031"
"1086","20171031"
"1087","20171031"
"1088","20171031"
"1089","20171031"
"1090","20171031"
"1091","20171031"
"1092","20171102"
"1093","20171102"
"1094","20171102"
"1095","20180322"
"1096","20180219"
"1097","20180219"
"1098","20180219"
"1099","20180219"
"1100","20180219"
"1101","20180220"
"1102","20180220"
"1103","20180220"
"1104","20180220"
"1105","20180220"
"1106","20180322"
"1107","20180220"
"1108","20180220"
"1109","20180220"
"1110","20180220"
"1111","20180220"
"1112","20180220"
"1113","20180221"
"1114","20180221"
"1115","20180221"
"1116","20180221"
"1117","20180221"
"1118","20180221"
"1119","20180221"
"1120","20180221"
"1121","20180322"
"1122","20180221"
"1123","20180221"
"1124","20180221"
"1125","20180221"
"1126","20180221"
"1127","20180221"
"1128","20180221"
"1129","20180221"
"1130","20180222"
"1131","20180222"
"1132","20180223"
"1133","20180223"
"1134","20180223"
"1135","20180223"
"1136","20180223"
"1137","20180322"
"1138","20180322"
"1139","20180322"
"1140","20180322"
"1141","20180322"
"1142","20180323"
"1143","20180323"
"1144","20180323"
"1145","20180323"
"1146","20180323"
"1147","20180323"
"1148","20180323"
"1149","20180323"
"1150","20180324"
"1151","20180324"
"1152","20180324"
"1153","20180324"
"1154","20180324"
"1155","20180324"
"1156","20180324"
"1157","20180324"
"1158","20180324"
"1159","20180324"
"1160","20180324"
"1161","20180324"
"1162","20180324"
"1163","20180324"
"1164","20180324"
"1165","20180324"
"1166","20180325"
"1167","20180325"
"1168","20180325"
"1169","20180325"
"1170","20180325"
"1171","20180325"
"1172","20180325"
"1173","20180325"
"1174","20180325"
"1175","20180325"
"1176","20180325"
"1177","20180325"
"1178","20180325"
"1179","20180325"
"1180","20180326"
"1181","20180326"
"1182","20180326"
"1183","20180326"
"1184","20180326"
"1185","20180326"
"1186","20180326"
"1187","20180326"
"1188","20180326"
"1189","20180326"
"1190","20180326"
"1191","20180326"
"1192","20180326"
"1193","20180327"
"1194","20180327"
"1195","20180327"
"1196","20180327"
"1197","20180327"
"1198","20180327"
"1199","20180327"
"1200","20180327"
"1201","20180327"
"1202","20180327"
"1203","20180327"
"1204","20180327"
"1205","20180328"
"1206","20180328"
"1207","20180328"
"1208","20180328"
"1209","20180328"
"1210","20180328"
"1211","20180328"
"1212","20180328"
