"d3mIndex","cylinders","displacement","horsepower","weight","acceleration","model","origin","class","train"
114,6,225,85,3465,16.6,81,1,17.6,1
115,4,151,NA,3035,20.5,82,1,23,1
116,4,108,70,2245,16.9,82,3,34,1
117,8,302,129,3725,13.4,79,1,17.6,1
118,6,145,76,3160,19.6,81,2,30.7,1
119,6,231,110,3039,15,75,1,21,1
120,4,91,67,1995,16.2,82,3,38,1
121,8,302,140,4141,14,74,1,16,1
122,6,250,72,3432,21,75,1,15,1
123,6,225,100,3651,17.7,76,1,20,1
124,4,90,70,1937,14.2,76,2,29,1
125,4,144,96,2665,13.9,82,3,32,1
126,8,318,150,3436,11,70,1,18,1
127,4,85,70,1990,17,76,3,32,1
128,8,350,145,4082,13,73,1,15,1
129,8,351,149,4335,14.5,77,1,16,1
130,4,112,88,2395,18,82,1,34,1
131,8,307,200,4376,15,70,1,10,1
132,4,121,112,2868,15.5,73,2,19,1
133,4,151,90,2670,16,79,1,28.4,1
134,8,302,130,4295,14.9,77,1,15,1
135,4,97,67,2065,17.8,81,3,32.3,1
136,4,98,68,2155,16.5,78,1,30,1
137,4,140,88,2870,18.1,80,1,26.4,1
138,4,135,84,2385,12.9,81,1,30,1
139,6,232,100,2901,16,74,1,19,1
140,8,302,140,4294,16,72,1,13,1
141,4,108,75,2265,15.2,80,3,32.2,1
142,4,97,88,2130,14.5,71,3,27,1
143,4,98,80,2164,15,72,1,28,1
144,4,91,67,1850,13.8,80,3,44.6,1
145,6,232,100,2789,15,73,1,18,1
146,4,85,70,2070,18.6,78,3,39.4,1
147,4,140,88,2720,15.4,78,1,25.1,1
148,6,250,100,3781,17,74,1,16,1
149,4,90,48,1985,21.5,78,2,43.1,1
150,4,140,92,2572,14.9,76,1,25,1
151,8,350,155,4360,14.9,79,1,16.9,1
152,8,400,175,5140,12,71,1,13,1
153,6,200,88,3060,17.1,81,1,20.2,1
154,8,351,153,4129,13,72,1,14,1
155,4,119,92,2434,15,80,3,37,1
156,8,350,175,4100,13,73,1,13,1
157,4,121,110,2600,12.8,77,2,21.5,1
158,4,101,83,2202,15.3,76,2,27,1
159,8,351,148,4657,13.5,75,1,14,1
160,8,400,150,3761,9.5,70,1,15,1
161,6,250,100,3329,15.5,71,1,17,1
162,8,304,193,4732,18.5,70,1,9,1
163,4,140,78,2592,18.5,75,1,23,1
164,4,79,67,1963,15.5,74,2,26,1
165,4,97,78,2188,15.8,80,2,34.3,1
166,4,156,105,2745,16.7,78,1,23.2,1
167,8,305,145,3880,12.5,77,1,17.5,1
168,8,455,225,4951,11,73,1,12,1
169,4,79,70,2074,19.5,71,2,30,1
170,4,97,78,2190,14.1,77,2,30.5,1
171,5,183,77,3530,20.1,79,2,25.4,1
172,4,90,48,2085,21.7,80,2,44.3,1
173,4,120,88,2957,17,75,2,23,1
174,8,318,150,4096,13,71,1,14,1
175,4,89,62,1845,15.3,80,2,29.8,1
176,4,140,72,2565,13.6,76,1,26.5,1
177,6,200,85,2965,15.8,78,1,20.2,1
178,6,262,85,3015,17,82,1,38,1
179,8,302,140,3449,10.5,70,1,17,1
180,6,225,100,3430,17.2,78,1,20.5,1
181,4,108,75,2350,16.8,81,3,32.4,1
182,6,250,88,3021,16.5,73,1,18,1
183,6,231,105,3425,16.9,77,1,20.5,1
184,4,156,92,2620,14.4,81,1,25.8,1
185,8,350,145,4055,12,76,1,13,1
186,4,134,96,2702,13.5,75,3,24,1
187,6,250,100,3278,18,73,1,16,1
188,8,318,150,3755,14,76,1,13,1
189,4,122,86,2226,16.5,72,1,21,1
190,6,250,100,3282,15,71,1,19,1
191,4,98,NA,2046,19,71,1,25,1
192,4,134,95,2560,14.2,78,3,27.5,1
193,6,250,78,3574,21,76,1,18,1
194,4,100,NA,2320,15.8,81,2,34.5,1
195,8,318,210,4382,13.5,70,1,11,1
196,4,98,70,2120,15.5,80,1,32.1,1
197,8,350,170,4165,11.4,77,1,15.5,1
198,6,225,110,3620,18.7,78,1,18.6,1
199,8,318,135,3830,15.2,79,1,18.2,1
200,6,258,110,3730,19,75,1,15,1
201,4,135,84,2490,15.7,81,1,27.2,1
202,8,318,150,4457,13.5,74,1,14,1
203,8,350,165,4274,12,72,1,13,1
204,6,225,105,3613,16.5,74,1,18,1
205,6,250,100,3336,17,74,1,15,1
206,8,455,225,4425,10,70,1,14,1
207,8,318,150,4135,13.5,72,1,15,1
208,8,260,90,3420,22.2,79,1,23.9,1
209,4,113,95,2372,15,70,3,24,1
210,8,400,170,4668,11.5,75,1,16,1
211,8,351,153,4154,13.5,71,1,14,1
212,8,350,105,3725,19,81,1,26.6,1
213,4,86,65,2110,17.9,80,3,46.6,1
214,4,98,68,2045,18.5,77,3,31.5,1
215,4,98,68,2135,16.6,78,3,29.5,1
216,4,112,88,2640,18.6,82,1,27,1
217,4,140,89,2755,15.8,77,1,25.5,1
218,4,130,102,3150,15.7,76,2,20,1
219,8,350,180,4380,12.1,76,1,16.5,1
220,4,98,80,1915,14.4,79,1,35.7,1
221,6,146,120,2930,13.8,81,3,24.2,1
222,8,302,139,3570,12.8,78,1,20.2,1
223,4,156,92,2585,14.5,82,1,26,1
224,6,231,110,3415,15.8,81,1,22.4,1
225,4,85,65,2020,19.2,79,3,31.8,1
226,4,105,75,2230,14.5,78,1,30.9,1
227,6,250,110,3645,16.2,76,1,18.5,1
228,6,250,105,3897,18.5,75,1,16,1
229,8,400,170,4746,12,71,1,13,1
230,4,111,80,2155,14.8,77,1,30,1
231,8,351,152,4215,12.8,76,1,14.5,1
232,4,98,76,2144,14.7,80,2,41.5,1
233,6,200,85,3070,16.7,78,1,20.8,1
234,8,360,170,4654,13,73,1,13,1
235,4,71,65,1773,19,71,3,31,1
236,8,350,165,3693,11.5,70,1,15,1
237,4,122,86,2220,14,71,1,23,1
238,4,122,86,2395,16,72,1,22,1
239,4,97,75,2155,16.4,76,3,28,1
240,6,225,105,3439,15.5,71,1,16,1
241,6,231,165,3445,13.4,78,1,17.7,1
242,8,400,150,4464,12,73,1,13,1
243,4,151,84,2635,16.4,81,1,26.6,1
244,4,88,76,2065,14.5,71,2,30,1
245,8,302,139,3205,11.2,78,1,18.1,1
246,6,146,97,2815,14.5,77,3,22,1
247,8,455,225,3086,10,70,1,14,1
248,4,151,90,3003,20.1,80,1,24.3,1
249,8,302,137,4042,14.5,73,1,14,1
250,4,119,97,2405,14.9,78,3,23.9,1
251,8,302,129,3169,12,75,1,13,1
252,4,146,67,3250,21.8,80,2,30,1
253,4,135,84,2370,13,82,1,36,1
254,6,258,110,3632,18,74,1,16,1
255,6,173,115,2595,11.3,79,1,28.8,1
256,4,107,75,2205,14.5,82,3,36,1
257,4,120,75,2542,17.5,80,3,31.3,1
258,3,80,110,2720,13.5,77,3,21.5,1
259,4,72,69,1613,18,71,3,35,1
260,4,116,90,2123,14,71,2,28,1
261,6,171,97,2984,14.5,75,1,18,1
262,8,304,120,3962,13.9,76,1,15.5,1
263,4,135,84,2295,11.6,82,1,32,1
264,8,305,140,4215,13,76,1,17.5,1
265,6,232,100,2914,16,75,1,20,1
266,4,97.5,80,2126,17,72,1,25,1
267,6,250,88,3139,14.5,71,1,18,1
268,4,86,64,1875,16.4,81,1,39,1
269,4,97,75,2265,18.2,77,3,26,1
270,6,231,105,3535,19.2,78,1,19.2,1
271,4,107,90,2430,14.5,70,2,24,1
272,4,151,90,2678,16.5,80,1,28,1
273,6,231,110,3907,21,75,1,17,1
274,4,121,115,2795,15.7,78,2,21.6,1
275,6,225,100,3233,15.4,76,1,22,1
276,4,89,71,1925,14,79,2,31.9,1
277,4,79,58,1755,16.9,81,3,39.1,1
278,6,232,90,3210,17.2,78,1,19.4,1
279,4,151,90,2556,13.2,79,1,33.5,1
280,4,120,97,2489,15,74,3,24,1
281,4,122,80,2451,16.5,74,1,26,1
282,4,79,67,2000,16,74,2,31,1
283,4,141,80,3230,20.4,81,2,28.1,1
284,6,232,100,2945,16,73,1,18,1
285,4,151,90,2735,18,82,1,27,1
286,8,350,145,3988,13,73,1,13,1
287,4,85,NA,1835,17.3,80,2,40.9,1
288,8,302,130,3870,15,76,1,13,1
289,8,318,150,3399,11,73,1,15,1
290,4,119,82,2720,19.4,82,1,31,1
291,4,110,87,2672,17.5,70,2,25,1
292,8,318,150,4190,13,76,1,16,1
293,3,70,97,2330,13.5,72,3,19,1
294,8,350,180,4499,12.5,73,1,12,1
295,4,134,95,2515,14.8,78,3,21.1,1
296,4,89,62,2050,17.3,81,3,37.7,1
297,4,97,46,1950,21,73,2,26,1
0,4,91,53,1795,17.4,76,3,NA,0
1,4,120,79,2625,18.6,82,1,NA,0
2,6,232,100,2634,13,71,1,NA,0
3,8,318,150,3940,13.2,76,1,NA,0
4,8,318,150,4237,14.5,73,1,NA,0
5,4,97,88,2100,16.5,72,3,NA,0
6,4,140,92,2865,16.4,82,1,NA,0
7,8,440,215,4735,11,73,1,NA,0
8,8,260,110,4060,19,77,1,NA,0
9,6,200,NA,2875,17,74,1,NA,0
10,8,390,190,3850,8.5,70,1,NA,0
11,4,91,67,1965,15,82,3,NA,0
12,4,91,70,1955,20.5,71,1,NA,0
13,8,304,150,3892,12.5,72,1,NA,0
14,4,140,75,2542,17,74,1,NA,0
15,8,383,180,4955,11.5,71,1,NA,0
16,4,112,85,2575,16.2,82,1,NA,0
17,6,163,125,3140,13.6,78,2,NA,0
18,8,400,180,4220,11.1,77,1,NA,0
19,4,91,68,1970,17.6,82,3,NA,0
20,4,121,76,2511,18,72,2,NA,0
21,6,198,95,2833,15.5,70,1,NA,0
22,6,232,112,2835,14.7,82,1,NA,0
23,4,98,83,2075,15.9,77,1,NA,0
24,8,307,130,3504,12,70,1,NA,0
25,4,97,52,2130,24.6,82,2,NA,0
26,4,98,90,2265,15.5,73,2,NA,0
27,4,151,88,2740,16,77,1,NA,0
28,6,258,120,3410,15.1,78,1,NA,0
29,8,400,167,4906,12.5,73,1,NA,0
30,4,140,86,2790,15.6,82,1,NA,0
31,4,105,74,1980,15.3,82,2,NA,0
32,8,350,125,3900,17.4,79,1,NA,0
33,4,113,95,2278,15.5,72,3,NA,0
34,4,86,65,2019,16.4,80,3,NA,0
35,8,400,230,4278,9.5,73,1,NA,0
36,6,155,107,2472,14,73,1,NA,0
37,8,305,145,3425,13.2,78,1,NA,0
38,8,318,150,4498,14.5,75,1,NA,0
39,4,98,83,2219,16.5,74,2,NA,0
40,6,173,115,2700,12.9,79,1,NA,0
41,4,97,60,1834,19,71,2,NA,0
42,4,121,112,2933,14.5,72,2,NA,0
43,8,360,215,4615,14,70,1,NA,0
44,4,120,97,2506,14.5,72,3,NA,0
45,4,120,88,2160,14.5,82,3,NA,0
46,4,116,75,2246,14,74,2,NA,0
47,4,121,115,2671,13.5,75,2,NA,0
48,4,104,95,2375,17.5,70,2,NA,0
49,4,90,71,2223,16.5,75,2,NA,0
50,4,140,72,2408,19,71,1,NA,0
51,4,86,65,1975,15.2,79,3,NA,0
52,4,107,72,2290,17,80,3,NA,0
53,8,400,190,4422,12.5,72,1,NA,0
54,6,173,110,2725,12.6,81,1,NA,0
55,8,400,175,4464,11.5,71,1,NA,0
56,8,360,150,3940,13,79,1,NA,0
57,4,134,90,2711,15.5,80,3,NA,0
58,4,140,90,2264,15.5,71,1,NA,0
59,6,225,95,3264,16,75,1,NA,0
60,8,350,180,3664,11,73,1,NA,0
61,4,91,53,1795,17.5,75,3,NA,0
62,4,140,83,2639,17,75,1,NA,0
63,4,120,87,2979,19.5,72,2,NA,0
64,6,198,95,2904,16,73,1,NA,0
65,4,113,95,2228,14,71,3,NA,0
66,4,151,85,2855,17.6,78,1,NA,0
67,4,98,65,2045,16.2,81,1,NA,0
68,4,98,60,2164,22.1,76,1,NA,0
69,8,307,130,4098,14,72,1,NA,0
70,4,105,63,2215,14.9,81,1,NA,0
71,8,304,150,4257,15.5,74,1,NA,0
72,8,429,198,4341,10,70,1,NA,0
73,6,258,110,2962,13.5,71,1,NA,0
74,6,181,110,2945,16.4,82,1,NA,0
75,8,260,110,3365,15.5,78,1,NA,0
76,6,250,110,3520,16.4,77,1,NA,0
77,4,112,88,2605,19.6,82,1,NA,0
78,4,90,70,1937,14,75,2,NA,0
79,8,305,130,3840,15.4,79,1,NA,0
80,8,304,150,3433,12,70,1,NA,0
81,4,97,88,2130,14.5,70,3,NA,0
82,4,91,68,2025,18.2,82,3,NA,0
83,4,91,60,1800,16.4,78,3,NA,0
84,4,115,95,2694,15,75,2,NA,0
85,8,400,175,4385,12,72,1,NA,0
86,4,78,52,1985,19.4,78,3,NA,0
87,4,98,65,2380,20.7,81,1,NA,0
88,4,97,88,2279,19,73,3,NA,0
89,8,429,198,4952,11.5,73,1,NA,0
90,8,400,190,4325,12.2,77,1,NA,0
91,3,70,100,2420,12.5,80,3,NA,0
92,4,116,75,2158,15.5,73,2,NA,0
93,4,79,58,1825,18.6,77,2,NA,0
94,6,156,108,2930,15.5,76,3,NA,0
95,4,105,63,2125,14.7,82,1,NA,0
96,4,135,84,2525,16,82,1,NA,0
97,6,231,115,3245,15.4,79,1,NA,0
98,4,156,105,2800,14.4,80,1,NA,0
99,8,318,150,4077,14,72,1,NA,0
